"Alpha 3","Country Name","Continent"
"DZA","Algeria","Africa"
"AGO","Angola","Africa"
"BEN","Benin","Africa"
"BWA","Botswana","Africa"
"BFA","Burkina Faso","Africa"
"BDI","Burundi","Africa"
"CMR","Cameroon","Africa"
"CPV","Cape Verde","Africa"
"CAF","Central African Republic","Africa"
"TCD","Chad","Africa"
"COM","Comoros","Africa"
"COG","Congo - Brazzaville","Africa"
"COD","Congo - Kinshasa","Africa"
"DJI","Djibouti","Africa"
"EGY","Egypt","Africa"
"GNQ","Equatorial Guinea","Africa"
"ERI","Eritrea","Africa"
"ETH","Ethiopia","Africa"
"GAB","Gabon","Africa"
"GMB","Gambia","Africa"
"GHA","Ghana","Africa"
"GIN","Guinea","Africa"
"GNB","Guinea-Bissau","Africa"
"CIV","Côte d’Ivoire","Africa"
"KEN","Kenya","Africa"
"LSO","Lesotho","Africa"
"LBR","Liberia","Africa"
"LBY","Libya","Africa"
"MDG","Madagascar","Africa"
"MWI","Malawi","Africa"
"MLI","Mali","Africa"
"MRT","Mauritania","Africa"
"MUS","Mauritius","Africa"
"MYT","Mayotte","Africa"
"MAR","Morocco","Africa"
"MOZ","Mozambique","Africa"
"NAM","Namibia","Africa"
"NER","Niger","Africa"
"NGA","Nigeria","Africa"
"REU","Réunion","Africa"
"RWA","Rwanda","Africa"
"SHN","St. Helena","Africa"
"STP","São Tomé & Príncipe","Africa"
"SEN","Senegal","Africa"
"SYC","Seychelles","Africa"
"SLE","Sierra Leone","Africa"
"SOM","Somalia","Africa"
"ZAF","South Africa","Africa"
"SSD","South Sudan","Africa"
"SDN","Sudan","Africa"
"SWZ","Eswatini","Africa"
"TZA","Tanzania","Africa"
"TGO","Togo","Africa"
"TUN","Tunisia","Africa"
"UGA","Uganda","Africa"
"ESH","Western Sahara","Africa"
"ZMB","Zambia","Africa"
"ZWE","Zimbabwe","Africa"
"AIA","Anguilla","Americas"
"ATG","Antigua & Barbuda","Americas"
"ARG","Argentina","Americas"
"ABW","Aruba","Americas"
"BHS","Bahamas","Americas"
"BRB","Barbados","Americas"
"BLZ","Belize","Americas"
"BMU","Bermuda","Americas"
"BOL","Bolivia","Americas"
"BRA","Brazil","Americas"
"VGB","British Virgin Islands","Americas"
"CAN","Canada","Americas"
"CYM","Cayman Islands","Americas"
"CHL","Chile","Americas"
"COL","Colombia","Americas"
"CRI","Costa Rica","Americas"
"CUB","Cuba","Americas"
"DMA","Dominica","Americas"
"DOM","Dominican Republic","Americas"
"ECU","Ecuador","Americas"
"SLV","El Salvador","Americas"
"FLK","Falkland Islands","Americas"
"GUF","French Guiana","Americas"
"GRL","Greenland","Americas"
"GRD","Grenada","Americas"
"GLP","Guadeloupe","Americas"
"GTM","Guatemala","Americas"
"GUY","Guyana","Americas"
"HTI","Haiti","Americas"
"HND","Honduras","Americas"
"JAM","Jamaica","Americas"
"MTQ","Martinique","Americas"
"MEX","Mexico","Americas"
"MSR","Montserrat","Americas"
"NIC","Nicaragua","Americas"
"PAN","Panama","Americas"
"PRY","Paraguay","Americas"
"PER","Peru","Americas"
"PRI","Puerto Rico","Americas"
"BLM","St. Barthélemy","Americas"
"KNA","St. Kitts & Nevis","Americas"
"LCA","St. Lucia","Americas"
"MAF","Saint Martin (French part)","Americas"
"SPM","St. Pierre & Miquelon","Americas"
"VCT","St. Vincent & Grenadines","Americas"
"SUR","Suriname","Americas"
"TTO","Trinidad & Tobago","Americas"
"TCA","Turks & Caicos Islands","Americas"
"USA","United States","Americas"
"URY","Uruguay","Americas"
"VEN","Venezuela","Americas"
"VIR","U.S. Virgin Islands","Americas"
"AFG","Afghanistan","Asia"
"ARM","Armenia","Asia"
"AZE","Azerbaijan","Asia"
"BHR","Bahrain","Asia"
"BGD","Bangladesh","Asia"
"BTN","Bhutan","Asia"
"BRN","Brunei","Asia"
"KHM","Cambodia","Asia"
"CHN","China","Asia"
"HKG","Hong Kong SAR China","Asia"
"MAC","Macao SAR China","Asia"
"CYP","Cyprus","Asia"
"GEO","Georgia","Asia"
"IND","India","Asia"
"IDN","Indonesia","Asia"
"IRN","Iran","Asia"
"IRQ","Iraq","Asia"
"ISR","Israel","Asia"
"JPN","Japan","Asia"
"JOR","Jordan","Asia"
"KAZ","Kazakhstan","Asia"
"PRK","North Korea","Asia"
"KOR","South Korea","Asia"
"KWT","Kuwait","Asia"
"KGZ","Kyrgyzstan","Asia"
"LAO","Laos","Asia"
"LBN","Lebanon","Asia"
"MYS","Malaysia","Asia"
"MDV","Maldives","Asia"
"MNG","Mongolia","Asia"
"MMR","Myanmar (Burma)","Asia"
"NPL","Nepal","Asia"
"OMN","Oman","Asia"
"PAK","Pakistan","Asia"
"PSE","Palestinian Territories","Asia"
"PHL","Philippines","Asia"
"QAT","Qatar","Asia"
"SAU","Saudi Arabia","Asia"
"SGP","Singapore","Asia"
"LKA","Sri Lanka","Asia"
"SYR","Syria","Asia"
"TWN","Taiwan","Asia"
"TJK","Tajikistan","Asia"
"THA","Thailand","Asia"
"TLS","Timor-Leste","Asia"
"TUR","Turkey","Asia"
"TKM","Turkmenistan","Asia"
"ARE","United Arab Emirates","Asia"
"UZB","Uzbekistan","Asia"
"VNM","Vietnam","Asia"
"YEM","Yemen","Asia"
"ALA","Åland Islands","Europe"
"ALB","Albania","Europe"
"AND","Andorra","Europe"
"AUT","Austria","Europe"
"BLR","Belarus","Europe"
"BEL","Belgium","Europe"
"BIH","Bosnia & Herzegovina","Europe"
"BGR","Bulgaria","Europe"
"HRV","Croatia","Europe"
"CZE","Czechia","Europe"
"DNK","Denmark","Europe"
"EST","Estonia","Europe"
"FRO","Faroe Islands","Europe"
"FIN","Finland","Europe"
"FRA","France","Europe"
"DEU","Germany","Europe"
"GIB","Gibraltar","Europe"
"GRC","Greece","Europe"
"GGY","Guernsey","Europe"
"VAT","Vatican City","Europe"
"HUN","Hungary","Europe"
"ISL","Iceland","Europe"
"IRL","Ireland","Europe"
"IMN","Isle of Man","Europe"
"ITA","Italy","Europe"
"JEY","Jersey","Europe"
"LVA","Latvia","Europe"
"LIE","Liechtenstein","Europe"
"LTU","Lithuania","Europe"
"LUX","Luxembourg","Europe"
"MKD","North Macedonia","Europe"
"MLT","Malta","Europe"
"MDA","Moldova","Europe"
"MCO","Monaco","Europe"
"MNE","Montenegro","Europe"
"NLD","Netherlands","Europe"
"NOR","Norway","Europe"
"POL","Poland","Europe"
"PRT","Portugal","Europe"
"ROU","Romania","Europe"
"RUS","Russia","Europe"
"SMR","San Marino","Europe"
"SRB","Serbia","Europe"
"SVK","Slovakia","Europe"
"SVN","Slovenia","Europe"
"ESP","Spain","Europe"
"SJM","Svalbard & Jan Mayen","Europe"
"SWE","Sweden","Europe"
"CHE","Switzerland","Europe"
"UKR","Ukraine","Europe"
"GBR","United Kingdom","Europe"
"ASM","American Samoa","Oceania"
"AUS","Australia","Oceania"
"CXR","Christmas Island","Oceania"
"COK","Cook Islands","Oceania"
"FJI","Fiji","Oceania"
"PYF","French Polynesia","Oceania"
"GUM","Guam","Oceania"
"KIR","Kiribati","Oceania"
"MHL","Marshall Islands","Oceania"
"FSM","Micronesia (Federated States of)","Oceania"
"NRU","Nauru","Oceania"
"NCL","New Caledonia","Oceania"
"NZL","New Zealand","Oceania"
"NIU","Niue","Oceania"
"NFK","Norfolk Island","Oceania"
"MNP","Northern Mariana Islands","Oceania"
"PLW","Palau","Oceania"
"PNG","Papua New Guinea","Oceania"
"PCN","Pitcairn Islands","Oceania"
"WSM","Samoa","Oceania"
"SLB","Solomon Islands","Oceania"
"TKL","Tokelau","Oceania"
"TON","Tonga","Oceania"
"TUV","Tuvalu","Oceania"
"VUT","Vanuatu","Oceania"
"WLF","Wallis & Futuna","Oceania"
"ATA","Antarctica","Other"
"BVT","Bouvet Island","Other"
"IOT","British Indian Ocean Territory","Other"
"CCK","Cocos (Keeling) Islands","Other"
"ATF","French Southern Territories","Other"
"HMD","Heard & McDonald Islands","Other"
"ANT",,"Other"
"SGS","South Georgia & South Sandwich Islands","Other"
"UMI","United States Minor Outlying Islands (the)","Other"
